Position	Time	Type
70852	127346	1	0.800
71013	127636	1	0.805
71174	127926	1	0.805
71281	128118	1	0.535
71468	128455	1	0.935
71621	128730	1	0.765
71766	128991	1	0.725
71917	129263	1	0.755
72077	129551	1	0.800
72232	129830	1	0.775
72376	130089	1	0.720
72521	130350	1	0.725
72660	130600	1	0.695
72799	130851	1	0.695
72941	131106	1	0.710
73081	131358	1	0.700
73225	131617	1	0.720
73374	131886	1	0.745
73523	132154	1	0.745
73667	132413	1	0.720
73805	132661	1	0.690
73946	132915	1	0.705
74084	133164	1	0.690
74227	133421	1	0.715
74379	133695	1	0.760
74529	133965	1	0.750
74676	134229	1	0.735
74824	134496	1	0.740
74976	134769	1	0.760
75117	135023	1	0.705
75257	135275	1	0.700
75403	135538	1	0.730
75556	135813	1	0.765
75712	136089	1	0.780
75872	136377	1	0.800
76028	136656	1	0.780
76177	136924	1	0.745
76328	137196	1	0.755
76482	137473	1	0.770
76638	137754	1	0.780
76793	138033	1	0.775
76958	138330	1	0.825
77122	138625	1	0.820
77282	138913	1	0.800
77435	139188	1	0.765
77589	139465	1	0.770
77744	139744	1	0.775
77905	140034	1	0.805
78068	140328	1	0.815
78233	140625	1	0.825
78390	140907	1	0.785
78540	141177	1	0.750
78691	141449	1	0.755
78836	141710	1	0.725
78979	141967	1	0.715
79126	142232	1	0.735
79278	142513	1	0.760
79426	142779	1	0.740
79572	143042	1	0.730
79714	143298	1	0.710
79853	143548	1	0.695
79992	143798	1	0.695
80136	144057	1	0.720
80281	144318	1	0.725
80432	144590	1	0.755
80585	144865	1	0.765
80740	145144	1	0.775
80890	145414	1	0.750
81037	145679	1	0.735
81179	145935	1	0.710
81327	146201	1	0.740
81481	146478	1	0.770
81642	146768	1	0.805
81796	147045	1	0.770
81950	147322	1	0.770
82103	147598	1	0.765
82252	147866	1	0.745
82399	148131	1	0.735
82547	148397	1	0.740
82699	148671	1	0.760
82853	148948	1	0.770
83014	149238	1	0.805
83172	149515	1	0.790
83327	149801	1	0.775
83472	150062	1	0.725
83624	150336	1	0.760
83775	150607	1	0.755
83927	150881	1	0.760
84079	151155	1	0.760
84237	151439	1	0.790
84401	151734	1	0.820
84552	152006	1	0.755
84698	152269	1	0.730
84850	152542	1	0.760
85001	152814	1	0.755
85159	153099	1	0.790
85324	153396	1	0.825
85480	153676	1	0.780
85634	153954	1	0.770
85785	154225	1	0.755
85939	154503	1	0.770
86089	154773	1	0.750
86238	155041	1	0.745
86395	155323	1	0.785
86560	155620	1	0.825
86714	155898	1	0.770
86863	156166	1	0.745
87008	156427	1	0.725
87149	156681	1	0.705
87292	156938	1	0.715
87438	157201	1	0.730
87584	157464	1	0.730
87731	157728	1	0.735
87877	157991	1	0.730
88030	158259	1	0.765
88172	158515	1	0.710
88306	158763	1	0.670
88441	159006	1	0.675
88581	159258	1	0.700
88722	159512	1	0.705
88866	159771	1	0.720
89012	160034	1	0.730
89156	160293	1	0.720
89293	160540	1	0.685
89431	160788	1	0.690
89569	161037	1	0.690
89708	161287	1	0.695
89845	161533	1	0.685
89991	161796	1	0.730
90142	162068	1	0.755
90294	162342	1	0.760
90441	162599	1	0.735
90587	162869	1	0.730
90729	163125	1	0.710
90880	163396	1	0.755
91027	163661	1	0.735
91177	163931	1	0.750
91334	164214	1	0.785
91490	164494	1	0.780
91640	164764	1	0.750
91784	165024	1	0.720
91926	165279	1	0.710
92066	165531	1	0.700
92209	165789	1	0.715
92363	166066	1	0.770
92512	166334	1	0.745
92661	166602	1	0.745
92812	166874	1	0.755
92962	167144	1	0.750
93106	167403	1	0.720
93256	167673	1	0.750
93407	167938	1	0.755
93562	168217	1	0.775
93725	168510	1	0.815
93892	168813	1	0.835
94052	169101	1	0.800
94205	169374	1	0.765
94361	169655	1	0.780
94516	169934	1	0.775
94679	170227	1	0.815
94842	170521	1	0.815
94966	170744	1	0.620
95163	171099	1	0.985
95329	171397	1	0.830
95485	171678	1	0.780
95634	171946	1	0.745
95788	172224	1	0.770
95946	172508	1	0.790
96109	172801	1	0.815
96271	173093	1	0.810
96429	173377	1	0.790
96583	173655	1	0.770
96737	173932	1	0.770
96887	174202	1	0.750
97040	174477	1	0.765
97198	174762	1	0.790
97357	175048	1	0.795
97524	175350	1	0.835
97682	175635	1	0.790
97832	175910	1	0.750
97981	176173	1	0.745
98137	176454	1	0.780
98288	176731	1	0.755
98442	177008	1	0.770
98594	177282	1	0.760
98746	177555	1	0.760
98898	177829	1	0.760
99045	178093	1	0.735
99187	178349	1	0.710
99332	178610	1	0.725
99479	178875	1	0.735
99632	179150	1	0.765
99782	179420	1	0.750
99934	179694	1	0.760
100081	179958	1	0.735
100223	180214	1	0.710
100369	180477	1	0.730
100514	180738	1	0.725
100658	180997	1	0.720
100809	181269	1	0.755
100969	181557	1	0.800
101128	181843	1	0.795
101280	182116	1	0.760
101430	182386	1	0.750
101580	182656	1	0.750
101732	182930	1	0.760
101889	183213	1	0.785
102053	183501	1	0.820
102222	183805	1	0.845
102385	184098	1	0.815
102545	184386	1	0.800
102705	184676	1	0.800
102863	184960	1	0.790
103018	185239	1	0.775
103183	185542	1	0.825
103360	185860	1	0.885
103532	186163	1	0.860
103693	186453	1	0.805
103854	186742	1	0.805
104014	187030	1	0.800
104173	187317	1	0.795
104332	187603	1	0.795
104496	187898	1	0.820
104667	188206	1	0.855
104834	188510	1	0.835
104991	188796	1	0.785
105146	189072	1	0.775
105306	189360	1	0.800
105469	189649	1	0.815
105638	189954	1	0.845
105804	190252	1	0.830
105972	190555	1	0.840
106134	190848	1	0.810
106296	191140	1	0.810
106453	191422	1	0.785
106608	191701	1	0.775
106776	192004	1	0.840
106945	192308	1	0.845
107108	192601	1	0.815
107268	192888	1	0.800
107426	193172	1	0.790
107579	193447	1	0.765
107735	193728	1	0.780
107897	194022	1	0.810
108056	194308	1	0.795
108219	194599	1	0.815
108383	194895	1	0.820
108542	195184	1	0.795
108692	195454	1	0.750
108845	195730	1	0.765
108999	196007	1	0.770
109161	196299	1	0.810
109322	196588	1	0.805
109482	196873	1	0.800
109640	197157	1	0.790
109797	197442	1	0.785
109947	197712	1	0.750
110094	197976	1	0.735
110247	198252	1	0.765
110402	198531	1	0.775
110562	198819	1	0.800
110720	199103	1	0.790
110874	199380	1	0.770
111022	199647	1	0.740
111175	199922	1	0.765
111323	200188	1	0.740
111475	200462	1	0.760
111631	200741	1	0.780
111785	201018	1	0.770
111940	201297	1	0.775
112091	201569	1	0.755
112237	201832	1	0.730
112382	202093	1	0.725
112533	202365	1	0.755
112686	202640	1	0.765
112842	202921	1	0.780
113001	203207	1	0.795
113161	203495	1	0.800
113312	203767	1	0.755
113467	204046	1	0.775
113622	204325	1	0.775
113775	204600	1	0.765
113930	204879	1	0.775
114099	205183	1	0.845
114266	205484	1	0.835
114421	205763	1	0.775
114576	206042	1	0.775
114727	206314	1	0.755
114882	206600	1	0.775
115036	206870	1	0.770
115194	207154	1	0.790
115356	207446	1	0.810
115525	207750	1	0.845
115680	208029	1	0.775
115832	208303	1	0.760
115982	208573	1	0.750
116135	208848	1	0.765
116289	209133	1	0.770
116451	209424	1	0.810
116613	209716	1	0.810
116774	210006	1	0.805
116931	210288	1	0.785
117085	210565	1	0.770
117238	210841	1	0.765
117392	211118	1	0.770
117547	211397	1	0.775
117708	211687	1	0.805
117873	211984	1	0.825
118027	212261	1	0.770
118179	212535	1	0.760
118332	212810	1	0.765
118488	213084	1	0.780
118637	213359	1	0.745
118793	213640	1	0.780
118953	213928	1	0.800
119112	214207	1	0.795
119269	214497	1	0.785
119421	214770	1	0.760
119569	215037	1	0.740
119723	215314	1	0.770
119879	215595	1	0.780
120039	215875	1	0.800
120201	216167	1	0.810
120362	216457	1	0.805
120517	216736	1	0.775
120672	217015	1	0.775
120827	217294	1	0.775
120982	217573	1	0.775
121136	217850	1	0.770
121301	218147	1	0.825
121466	218444	1	0.825
121624	218728	1	0.790
121774	218998	1	0.750
121926	219272	1	0.760
122083	219555	1	0.785
122241	219839	1	0.790
122399	220123	1	0.790
122562	220417	1	0.815
122729	220725	1	0.835
122887	221009	1	0.790
123040	221284	1	0.765
123193	221553	1	0.765
123347	221830	1	0.770
123501	222114	1	0.770
123664	222408	1	0.815
123826	222699	1	0.810
123984	222984	1	0.790
124138	223261	1	0.770
124293	223534	1	0.775
124446	223810	1	0.765
124592	224073	1	0.730
124749	224355	1	0.785
124912	224649	1	0.815
125075	224942	1	0.815
125231	225223	1	0.780
125384	225498	1	0.765
125535	225770	1	0.755
125691	226056	1	0.780
125842	226323	1	0.755
125997	226602	1	0.775
126157	226888	1	0.800
126314	227170	1	0.785
126471	227453	1	0.785
126623	227728	1	0.760
126775	228002	1	0.760
126921	228263	1	0.730
127076	228542	1	0.775
127237	228832	1	0.805
127397	229120	1	0.800
127553	229401	1	0.780
127711	229685	1	0.790
127864	229960	1	0.765
128019	230241	1	0.775
128169	230511	1	0.750
128323	230788	1	0.770
128488	231085	1	0.825
128654	231384	1	0.830
128810	231665	1	0.780
128963	231940	1	0.765
129117	232218	1	0.770
129266	232486	1	0.745
129418	232765	1	0.760
129576	233049	1	0.790
129734	233334	1	0.790
129894	233622	1	0.800
130053	233908	1	0.795
130206	234183	1	0.765
130353	234433	1	0.735
130502	234716	1	0.745
130655	234981	1	0.765
130816	235270	1	0.805
130981	235564	1	0.825
131138	235846	1	0.785
131293	236140	1	0.775
131450	236422	1	0.785
131603	236683	1	0.765
131748	236959	1	0.725
131903	237238	1	0.775
132064	237513	1	0.805
132224	237801	1	0.800
132383	238087	1	0.795
132535	238361	1	0.760
132684	238629	1	0.745
132836	238903	1	0.760
132987	239175	1	0.755
133141	239452	1	0.770
133299	239736	1	0.790
133454	240015	1	0.775
133604	240285	1	0.750
133756	240559	1	0.760
133906	240829	1	0.750
134047	241083	1	0.705
134188	241336	1	0.705
134338	241606	1	0.750
134487	241875	1	0.745
134630	242132	1	0.715
134774	242391	1	0.720
134918	242650	1	0.720
135056	242899	1	0.690
135196	243151	1	0.700
135338	243406	1	0.710
135480	243662	1	0.710
135627	243927	1	0.735
135784	244209	1	0.785
135934	244479	1	0.750
136083	244747	1	0.745
136225	245003	1	0.710
136371	245266	1	0.730
136520	245534	1	0.745
136673	245809	1	0.765
136825	246083	1	0.760
136984	246369	1	0.795
137149	246666	1	0.825
137308	246952	1	0.795
137456	247219	1	0.740
137605	247487	1	0.745
137756	247759	1	0.755
137910	248036	1	0.770
138066	248317	1	0.780
138226	248605	1	0.800
138388	248896	1	0.810
138544	249177	1	0.780
138696	249451	1	0.760
138848	249724	1	0.760
139005	250007	1	0.785
139163	250291	1	0.790
139322	250578	1	0.795
139488	250876	1	0.830
139656	251179	1	0.840
139812	251460	1	0.780
139962	251730	1	0.750
140119	252018	1	0.785
140281	252309	1	0.810
140447	252608	1	0.830
140604	252891	1	0.785
140766	253182	1	0.810
140932	253481	1	0.830
141090	253765	1	0.790
141239	254034	1	0.745
141390	254305	1	0.755
141558	254608	1	0.840
141729	254916	1	0.855
141884	255195	1	0.775
142041	255477	1	0.785
142200	255763	1	0.795
142359	256050	1	0.795
142509	256320	1	0.750
142662	256595	1	0.765
142822	256883	1	0.800
142988	257182	1	0.830
143144	257463	1	0.780
143294	257733	1	0.750
143437	257990	1	0.715
143581	258249	1	0.720
143721	258501	1	0.700
143865	258760	1	0.720
144014	259029	1	0.745
144167	259304	1	0.765
144312	259565	1	0.725
144462	259835	1	0.750
144609	260100	1	0.735
144752	260357	1	0.715
144892	260609	1	0.700
145040	260875	1	0.740
145196	261156	1	0.780
145354	261441	1	0.790
145506	261714	1	0.760
145660	261991	1	0.770
145812	262265	1	0.760
145965	262540	1	0.765
146116	262812	1	0.755
146268	263086	1	0.760
146428	263374	1	0.800
146589	263664	1	0.805
146751	263955	1	0.810
146910	264241	1	0.795
147066	264522	1	0.780
147218	264796	1	0.760
147379	265086	1	0.805
147541	265377	1	0.810
147707	265676	1	0.830
147871	265971	1	0.820
148032	266261	1	0.805
148194	266553	1	0.810
148353	266839	1	0.795
148510	267121	1	0.785
148664	267399	1	0.770
148833	267703	1	0.845
148999	268002	1	0.830
149156	268284	1	0.785
149313	268567	1	0.785
149468	268846	1	0.775
149623	269125	1	0.775
149780	269407	1	0.785
149939	269694	1	0.795
150100	269983	1	0.805
150265	270280	1	0.825
150428	270574	1	0.815
150578	270844	1	0.750
150730	271117	1	0.760
150884	271395	1	0.770
151042	271688	1	0.790
151207	271985	1	0.825
151369	272277	1	0.810
151529	272565	1	0.800
151699	272871	1	0.850
151857	273155	1	0.790
152008	273427	1	0.755
152164	273708	1	0.780
152326	273999	1	0.810
152491	274296	1	0.825
152656	274584	1	0.825
152818	274885	1	0.810
152973	275164	1	0.775
153124	275436	1	0.755
153273	275704	1	0.745
153427	275981	1	0.770
153586	276267	1	0.795
153742	276548	1	0.780
153902	276836	1	0.800
154068	277135	1	0.830
154227	277421	1	0.795
154372	277682	1	0.725
154524	277956	1	0.760
154684	278244	1	0.800
154854	278550	1	0.850
155019	278847	1	0.825
155177	279131	1	0.790
155335	279406	1	0.790
155442	279599	1	0.535
155632	279941	1	0.950
155794	280233	1	0.810
155962	280535	1	0.840
156131	280839	1	0.845
156295	281134	1	0.820
156456	281424	1	0.805
156612	281714	1	0.780
156764	281988	1	0.760
156918	282265	1	0.770
157074	282546	1	0.780
157234	282834	1	0.800
157398	283129	1	0.820
157561	283422	1	0.815
157717	283703	1	0.780
157869	283977	1	0.760
158020	284248	1	0.755
158173	284524	1	0.765
158332	284810	1	0.795
158496	285105	1	0.820
158657	285395	1	0.805
158818	285685	1	0.805
158976	285969	1	0.790
159128	286243	1	0.760
159281	286518	1	0.765
159435	286795	1	0.770
159595	287083	1	0.800
159763	287386	1	0.840
159931	287688	1	0.840
160091	287976	1	0.800
160247	288257	1	0.780
160404	288540	1	0.785
160563	288819	1	0.795
160720	289108	1	0.785
160885	289405	1	0.825
161048	289699	1	0.815
161217	290003	1	0.845
161376	290289	1	0.795
161532	290568	1	0.780
161685	290844	1	0.765
161851	291142	1	0.830
162016	291438	1	0.825
162176	291726	1	0.800
162339	292019	1	0.815
162501	292307	1	0.810
162659	292599	1	0.790
162814	292878	1	0.775
162968	293155	1	0.770
163129	293445	1	0.805
163296	293745	1	0.835
163462	294039	1	0.830
163620	294323	1	0.790
163779	294615	1	0.795
163932	294890	1	0.765
164091	295176	1	0.795
164246	295455	1	0.775
164410	295750	1	0.820
164574	296046	1	0.820
164744	296352	1	0.850
164906	296643	1	0.810
165061	296922	1	0.775
165216	297201	1	0.775
165372	297482	1	0.780
165532	297763	1	0.800
165696	298058	1	0.820
165864	298360	1	0.840
166026	298652	1	0.810
166189	298953	1	0.815
166348	299239	1	0.795
166502	299516	1	0.770
166653	299788	1	0.755
166818	300085	1	0.825
166989	300384	1	0.855
167157	300695	1	0.840
167311	300972	1	0.770
167461	301242	1	0.750
167619	301527	1	0.790
167779	301815	1	0.800
167936	302097	1	0.785
168093	302380	1	0.785
168258	302677	1	0.825
168427	302981	1	0.845
168589	303273	1	0.810
168735	303535	1	0.730
168885	303805	1	0.750
169047	304097	1	0.810
169212	304394	1	0.825
169366	304671	1	0.770
169524	304956	1	0.790
169684	305244	1	0.800
169843	305530	1	0.795
169960	305740	1	0.585
170142	306068	1	0.910
170309	306369	1	0.835
170478	306666	1	0.845
170647	306970	1	0.845
170808	307260	1	0.805
170963	307539	1	0.775
171091	307769	1	0.640
171268	308088	1	0.885
171427	308374	1	0.795
171581	308651	1	0.770
171740	308937	1	0.795
171910	309250	1	0.850
172076	309549	1	0.830
172222	309812	1	0.730
172373	310084	1	0.755
172529	310365	1	0.780
172693	310654	1	0.820
172852	310941	1	0.795
173011	311232	1	0.795
173172	311522	1	0.805
173335	311815	1	0.815
173490	312094	1	0.775
173638	312361	1	0.740
173792	312638	1	0.770
173915	312859	1	0.615
174119	313227	1	1.020
174294	313542	1	0.875
174460	313833	1	0.830
174617	314116	1	0.785
174774	314398	1	0.785
174936	314697	1	0.810
175096	314985	1	0.800
175258	315277	1	0.810
175423	315574	1	0.825
175591	315876	1	0.840
175753	316168	1	0.810
175908	316447	1	0.775
176063	316726	1	0.775
176223	317014	1	0.800
176381	317298	1	0.790
176545	317584	1	0.820
176669	317808	1	0.620
176870	318169	1	1.005
177032	318461	1	0.810
177194	318753	1	0.810
177351	319044	1	0.785
177468	319255	1	0.585
177671	319620	1	1.015
177847	319937	1	0.880
178014	320238	1	0.835
178174	320526	1	0.800
178337	320819	1	0.815
178496	321105	1	0.795
178662	321404	1	0.830
178824	321687	1	0.810
178993	321991	1	0.845
179164	322299	1	0.855
179329	322596	1	0.825
179487	322880	1	0.790
179644	323163	1	0.785
179803	323449	1	0.795
179972	323753	1	0.845
180147	324068	1	0.875
180312	324365	1	0.825
180478	324664	1	0.830
180639	324954	1	0.805
180797	325238	1	0.790
180953	325519	1	0.780
181112	325805	1	0.795
181283	326113	1	0.855
181454	326421	1	0.855
181621	326721	1	0.835
181782	327011	1	0.805
181942	327299	1	0.800
182103	327589	1	0.805
182266	327882	1	0.815
182427	328172	1	0.805
182596	328476	1	0.845
182763	328777	1	0.835
182932	329081	1	0.845
183088	329362	1	0.780
183244	329643	1	0.780
183407	329936	1	0.815
183576	330240	1	0.845
183747	330548	1	0.855
183911	330843	1	0.820
184080	331147	1	0.845
184239	331434	1	0.795
184402	331727	1	0.815
184561	332013	1	0.795
184722	332303	1	0.805
184893	332611	1	0.855
185065	332920	1	0.860
185233	333223	1	0.840
185388	333502	1	0.775
185549	333792	1	0.805
